track_id,track_name,artist_name,publisher_name,bundle_id,genre,app_version,price,initial_release_date,latest_release_date,avg_user_rating,rating_count,app_url,file_size_bytes,content_rating,availability,first_name,last_name,country,offer_date,savings,offer_details,app_info,service_info
"1629369500","Sticker Drop Maker Studio","Aaron F Stephenson","Aaron F Stephenson","com.bronron.StickerDrop","Photo & Video","1.6.1","$2.99","2022-09-13T07:00:00Z","2023-08-23T21:23:55Z","4.73826","149","https://apps.apple.com/us/app/sticker-drop-maker-studio/id1629369500?uo=4","73738240","4+","1","Aaron","Stephenson","Australia","2023-01-07","","DISCOUNT","",""
"1554593287","Cue It - Interval Timer","Justin Hopkins","Justin Hopkins","com.JHDev.CueIt","Utilities","1.7.2","$2.99","2021-03-24T07:00:00Z","2024-03-21T01:27:52Z","4.59999","15","https://apps.apple.com/us/app/cue-it-interval-timer/id1554593287?uo=4","26838016","4+","1","","","","2023-01-06","2.99","FREE","",""
"1347447233","TimeFinder: Time Blocking","TimeFinder, LLC","TimeFinder, LLC","com.lukememet.TimeFinder","Productivity","8.8.2","Free","2018-03-03T22:54:55Z","2025-06-16T07:31:52Z","4.69161","1657","https://apps.apple.com/us/app/timefinder-time-blocking/id1347447233?uo=4","126085120","4+","1","Luke","Memet","United States","2023-01-09","129.99","FREE","TimeFinderApp","Twitter"
"1581072935","Food Log° - Lilbite","Abhinav Khanger","Abhinav Khanger","com.lilbite.calorie.counter","Health & Fitness","1.0.60","Free","2021-09-02T07:00:00Z","2024-09-25T16:45:57Z","4.6045","311","https://apps.apple.com/us/app/food-log-lilbite/id1581072935?uo=4","29074432","12+","1","Abhinav","Singh","India","2023-01-08","29.99","FREE SUBSCIPTION","lilbite_ai","Twitter"
"962969578","Blackbox","Shapes and Stories LLC","Shapes and Stories LLC","com.growpixel.blackbox","Games","2.2.24","Free","2016-02-25T04:11:23Z","2025-06-26T07:44:19Z","4.80445","98869","https://apps.apple.com/us/app/blackbox/id962969578?uo=4","109277184","4+","1","Ryan","McLeod","Netherlands","2021-12-01","7","FREE","BlackboxPuzzle","Twitter"
"1499198946","Structured - Daily Planner","unorderly GmbH","unorderly GmbH","com.leomehlig.today","Productivity","4.2.2","Free","2020-04-09T07:00:00Z","2025-06-28T07:07:13Z","4.80598","140835","https://apps.apple.com/us/app/structured-daily-planner/id1499198946?uo=4","301572096","4+","1","Leonard","Mehlig","Germany","2021-12-02","34.99","FREE","Structured_app","Twitter"
"1556054655","Vinyls","Shihab Mehboob","Pixelfolio Inc.","com.shi.Vin","Music","2.3.2","Free","2021-03-18T07:00:00Z","2024-01-18T18:07:05Z","3.73118","93","https://apps.apple.com/us/app/vinyls/id1556054655?uo=4","98785280","4+","1","Shihab","Mehboob","United Kingdom","2021-12-06","5.99","FREE","Vinylstheapp","Twitter"
"1544343485","McClockface – Flip Clock","David Steppenbeck","David Steppenbeck","app.steppenbeck.McClockface","Lifestyle","5.5.1","Free","2021-05-27T07:00:00Z","2025-07-02T19:29:15Z","4.57595","316","https://apps.apple.com/us/app/mcclockface-flip-clock/id1544343485?uo=4","64665600","4+","1","David","Steppenbeck","United Kingdom","2021-12-03","6.99","FREE","",""
"1507193902","Jinks!","Simon Nickel","Simon Nickel","de.simonnickel.Jinks","Games","1.1.7","$1.99","2020-05-12T07:00:00Z","2023-07-21T12:52:26Z","4.23076","26","https://apps.apple.com/us/app/jinks/id1507193902?uo=4","3728384","4+","1","Simon","Nickel","Germany","2021-12-04","1.99","FREE","Jinks_app","Twitter"
"1461650987","Crouton: Recipe Manager","Crouton LLC","CROUTON LLC","com.meal.plan.ios","Food & Drink","2025.6","Free","2019-09-02T19:06:57Z","2025-06-05T08:14:06Z","4.83526","2167","https://apps.apple.com/us/app/crouton-recipe-manager/id1461650987?uo=4","363576320","4+","1","Devin","Davies","New Zealand","2021-12-07","12.99","FREE","_CroutonApp","Twitter"
"1267678125","YarnBuddy – Knit and Crochet","Rebecca Hansmeyer","Rebecca Hansmeyer","com.beckyhansmeyer.YarnBuddy","Lifestyle","2.3.6","Free","2020-07-06T07:00:00Z","2025-03-18T22:56:27Z","4.47987","671","https://apps.apple.com/us/app/yarnbuddy-knit-and-crochet/id1267678125?uo=4","26400768","4+","1","Becky","Hansmeyer","United States","2021-12-08","","DISCOUNT","Yarnbuddyapp","Twitter"
"1478757472","Bluebird Focus Timer","Cub & Pup","CUB & PUP LLC","com.cub-and-pup.Bluebird","Productivity","3.12.13","Free","2019-10-11T07:00:00Z","2025-03-28T03:50:48Z","4.80342","468","https://apps.apple.com/us/app/bluebird-focus-timer/id1478757472?uo=4","23606272","4+","1","","","","2021-12-09","","DISCOUNT","Bluebird_app","Twitter"
"1503446680","Clipboard Manager - PastePal","Khoa Pham","Khoa Pham","com.onmyway133.PastePal","Utilities","2.13.3","Free","2020-03-21T07:00:00Z","2025-07-17T03:19:16Z","4.00813","123","https://apps.apple.com/us/app/clipboard-manager-pastepal/id1503446680?uo=4","130969600","4+","1","Khoa","Pham","Norway","2021-12-10","","DISCOUNT","PastePalApp","Twitter"
"1573083328","Guessing Game for SharePlay","Cromulent Labs","Cromulent Labs, Inc","com.cromulentlabs.GuessThePhrase","Games","1.1.2","Free","2021-10-25T07:00:00Z","2022-09-06T19:59:34Z","4.59942","347","https://apps.apple.com/us/app/guessing-game-for-shareplay/id1573083328?uo=4","23614464","4+","1","Greg","Gardner","United States","2021-12-12","7.96","FREE","Guessinggameapp","Twitter"
